age,fnlwgt,education-num,marital-status,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,target,sex,education,workclass,occupation
62.0,111563.0,5.0,2,0,4,0.0,0.0,21.0,39,1,1,6,0,11
40.0,174515.0,9.0,6,4,4,0.0,0.0,40.0,39,1,0,11,4,2
51.0,186845.0,13.0,2,0,4,0.0,0.0,8.0,39,1,1,9,6,5
69.0,171050.0,9.0,6,1,4,0.0,0.0,9.0,39,1,0,11,0,0
30.0,117570.0,9.0,0,1,4,0.0,0.0,60.0,39,1,0,11,2,8
63.0,440607.0,1.0,2,0,3,0.0,0.0,30.0,26,1,1,13,4,11
17.0,110798.0,7.0,4,3,4,0.0,0.0,20.0,39,1,0,2,4,8
26.0,135848.0,13.0,4,1,4,0.0,0.0,10.0,13,1,1,9,3,12
28.0,175710.0,13.0,4,1,4,0.0,0.0,30.0,0,1,0,9,3,2
33.0,256362.0,10.0,4,1,4,0.0,0.0,35.0,39,1,1,15,3,12
43.0,177937.0,13.0,4,1,4,0.0,0.0,40.0,0,0,1,9,4,11
30.0,179747.0,9.0,2,0,4,0.0,0.0,45.0,39,0,1,11,3,3
27.0,190784.0,9.0,2,0,4,3137.0,0.0,45.0,39,1,1,11,3,3
70.0,37203.0,14.0,2,0,4,9386.0,0.0,30.0,39,0,1,12,6,11
47.0,168262.0,14.0,5,1,4,99999.0,0.0,50.0,39,0,1,12,4,4
41.0,93227.0,13.0,2,0,1,0.0,1977.0,60.0,36,0,1,9,5,4
54.0,118108.0,9.0,2,0,2,0.0,0.0,40.0,39,1,1,11,4,12
43.0,403467.0,13.0,2,0,2,7688.0,0.0,40.0,39,0,1,9,4,5
35.0,177305.0,10.0,2,0,4,0.0,2377.0,40.0,39,1,1,15,5,5
65.0,146159.0,4.0,6,1,2,0.0,1668.0,31.0,39,1,0,5,4,1
68.0,152157.0,9.0,6,1,4,0.0,0.0,20.0,39,1,0,11,0,11
28.0,51461.0,14.0,2,0,4,0.0,0.0,60.0,39,1,1,12,3,10
49.0,175428.0,10.0,2,0,4,0.0,0.0,40.0,39,0,1,15,1,2
49.0,107373.0,6.0,2,0,4,0.0,0.0,99.0,39,0,1,11,4,14
26.0,131401.0,13.0,4,1,4,0.0,0.0,40.0,39,1,0,9,3,5
