age,fnlwgt,education-num,marital-status,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,target,sex,education,workclass,occupation
17.0,181608.0,6.0,4,3,4,0.0,0.0,12.0,39,1,1,11,5,12
18.0,20057.0,4.0,4,2,1,0.0,0.0,40.0,30,1,0,5,4,12
47.0,100113.0,4.0,2,0,4,0.0,2051.0,40.0,39,1,1,5,4,9
31.0,213307.0,9.0,4,3,4,0.0,0.0,40.0,39,1,0,12,5,2
51.0,300816.0,13.0,4,4,4,0.0,0.0,20.0,39,1,1,9,4,2
26.0,223558.0,9.0,4,4,0,0.0,0.0,40.0,39,1,0,12,3,1
60.0,153356.0,9.0,0,1,2,2597.0,0.0,55.0,39,1,1,12,6,12
22.0,72887.0,10.0,4,3,1,0.0,0.0,24.0,39,1,1,15,3,12
41.0,197372.0,6.0,2,0,4,0.0,0.0,70.0,39,1,1,11,4,14
42.0,132222.0,13.0,4,3,4,0.0,0.0,60.0,39,1,1,9,4,12
39.0,118286.0,10.0,2,0,2,0.0,0.0,40.0,39,1,1,15,4,8
26.0,57600.0,13.0,2,0,4,0.0,0.0,40.0,39,1,1,9,3,11
63.0,361631.0,14.0,5,1,4,0.0,0.0,40.0,39,0,0,12,4,11
43.0,191547.0,9.0,2,0,4,0.0,0.0,40.0,26,1,1,12,4,3
34.0,52537.0,9.0,4,4,2,0.0,0.0,30.0,39,1,1,12,3,9
39.0,101020.0,8.0,2,0,4,0.0,0.0,40.0,39,1,1,0,4,2
39.0,149943.0,14.0,4,1,1,0.0,0.0,40.0,3,1,1,12,4,8
56.0,76534.0,9.0,2,2,1,0.0,0.0,21.0,3,1,0,12,5,5
42.0,245975.0,9.0,2,0,4,0.0,0.0,40.0,39,1,1,12,4,12
37.0,180667.0,9.0,2,0,4,0.0,0.0,40.0,39,1,1,12,7,12
24.0,29810.0,10.0,4,3,4,0.0,0.0,40.0,39,1,0,15,3,11
42.0,335248.0,11.0,0,1,4,0.0,0.0,36.0,39,1,0,8,2,11
47.0,188330.0,9.0,2,0,4,0.0,0.0,25.0,39,1,1,12,4,9
55.0,28735.0,9.0,0,4,0,0.0,0.0,45.0,39,1,0,12,4,1
30.0,36069.0,12.0,2,0,4,0.0,0.0,40.0,39,1,1,7,3,8
17.0,145258.0,7.0,4,2,4,0.0,0.0,25.0,39,1,0,2,0,11
46.0,176814.0,15.0,2,0,4,99999.0,0.0,50.0,39,0,1,14,4,10
49.0,285570.0,4.0,2,0,4,0.0,0.0,50.0,39,1,1,5,6,5
39.0,29814.0,9.0,2,0,4,0.0,0.0,40.0,39,1,1,12,4,12
17.0,318025.0,9.0,4,2,4,0.0,0.0,20.0,39,1,1,12,4,12
41.0,247081.0,10.0,2,0,4,0.0,0.0,40.0,39,0,1,15,4,2
40.0,111020.0,9.0,5,1,4,0.0,0.0,40.0,39,1,0,12,4,2
44.0,89413.0,11.0,2,0,4,0.0,0.0,40.0,39,1,1,8,4,12
20.0,42279.0,10.0,4,3,4,0.0,0.0,30.0,39,1,0,15,4,12
68.0,234859.0,10.0,2,0,4,0.0,0.0,30.0,39,1,1,15,6,12
28.0,290429.0,4.0,2,0,4,0.0,0.0,50.0,39,1,1,5,3,6
42.0,183096.0,10.0,0,3,4,0.0,0.0,40.0,39,1,0,15,4,5
30.0,127651.0,13.0,2,0,4,15024.0,0.0,65.0,39,0,1,9,2,4
32.0,182926.0,14.0,4,1,4,0.0,0.0,40.0,39,1,1,12,1,11
34.0,190151.0,10.0,4,1,4,0.0,0.0,42.0,39,1,0,15,3,1
42.0,213019.0,14.0,4,1,4,0.0,0.0,40.0,39,0,0,12,2,11
56.0,156842.0,10.0,5,1,2,0.0,0.0,40.0,39,1,1,15,1,12
47.0,147869.0,9.0,2,0,4,0.0,0.0,50.0,39,1,1,12,5,12
21.0,159879.0,10.0,4,3,4,0.0,0.0,40.0,39,1,0,15,3,2
40.0,142444.0,13.0,4,1,4,0.0,0.0,45.0,39,1,0,9,5,10
40.0,191814.0,13.0,2,0,4,0.0,1902.0,40.0,39,0,1,9,4,5
31.0,241885.0,9.0,4,4,4,0.0,0.0,45.0,39,1,1,12,3,5
17.0,225106.0,6.0,4,3,4,0.0,1602.0,18.0,39,1,0,11,4,12
46.0,309895.0,10.0,5,4,4,0.0,0.0,40.0,39,1,0,15,4,2
58.0,217775.0,9.0,2,0,4,7298.0,0.0,40.0,39,0,1,12,2,5
26.0,195216.0,9.0,0,1,4,0.0,0.0,12.0,39,1,0,12,3,8
46.0,329752.0,7.0,2,0,4,0.0,0.0,30.0,39,1,1,2,2,9
54.0,87205.0,9.0,5,1,4,0.0,0.0,45.0,39,1,0,12,4,1
50.0,168212.0,14.0,2,0,4,0.0,1902.0,45.0,39,0,1,12,4,3
36.0,52532.0,16.0,2,0,4,0.0,1887.0,50.0,39,0,1,10,2,10
39.0,312271.0,10.0,2,0,4,0.0,0.0,60.0,39,1,1,15,4,12
30.0,299223.0,10.0,0,4,0,0.0,0.0,40.0,39,1,0,15,3,8
36.0,152621.0,10.0,2,0,4,0.0,0.0,40.0,2,0,1,15,4,12
28.0,197222.0,10.0,4,3,4,0.0,0.0,38.0,39,1,0,15,3,1
17.0,183161.0,8.0,4,3,4,0.0,0.0,8.0,39,1,0,0,0,0
23.0,115458.0,9.0,4,3,4,0.0,0.0,40.0,39,1,1,12,3,9
37.0,117381.0,9.0,4,1,4,0.0,0.0,40.0,39,1,1,12,4,12
21.0,96061.0,10.0,4,3,4,0.0,0.0,10.0,39,1,0,15,3,8
24.0,132320.0,13.0,4,3,4,0.0,0.0,45.0,39,1,1,9,3,4
57.0,161097.0,9.0,0,1,4,0.0,0.0,26.0,39,1,0,12,4,8
47.0,185866.0,15.0,2,0,4,0.0,0.0,60.0,0,0,1,14,4,10
48.0,213140.0,4.0,2,0,4,0.0,0.0,40.0,22,1,1,5,6,12
30.0,173858.0,10.0,2,0,1,0.0,1902.0,40.0,35,0,1,15,2,5
51.0,213296.0,9.0,2,0,4,0.0,0.0,30.0,39,1,1,12,5,12
41.0,99254.0,14.0,0,4,2,0.0,0.0,30.0,39,1,0,12,4,12
45.0,33300.0,11.0,2,0,4,0.0,1977.0,50.0,39,0,1,8,4,12
40.0,139193.0,9.0,0,1,4,0.0,0.0,40.0,39,1,1,12,4,12
40.0,109217.0,7.0,2,0,4,0.0,0.0,45.0,26,1,1,2,4,3
57.0,44273.0,9.0,6,1,4,0.0,0.0,40.0,39,1,0,12,2,9
38.0,34180.0,10.0,2,0,4,0.0,0.0,40.0,39,1,1,15,7,5
37.0,212512.0,9.0,2,0,4,3464.0,0.0,50.0,39,1,1,12,4,7
17.0,197732.0,7.0,4,3,4,0.0,0.0,12.0,39,1,0,2,4,8
19.0,194905.0,10.0,4,3,4,0.0,0.0,30.0,39,1,0,15,4,12
56.0,134153.0,6.0,2,0,2,0.0,0.0,40.0,39,1,1,11,4,2
51.0,276456.0,12.0,2,0,4,3103.0,0.0,30.0,39,0,1,7,6,8
28.0,59335.0,13.0,2,2,4,0.0,0.0,15.0,39,1,0,9,3,1
40.0,264663.0,13.0,4,3,4,0.0,0.0,60.0,39,1,0,9,4,10
22.0,122048.0,10.0,4,3,4,0.0,0.0,35.0,39,1,0,15,2,11
40.0,72887.0,11.0,2,0,1,0.0,0.0,40.0,39,0,1,8,4,2
41.0,29762.0,10.0,2,0,4,0.0,0.0,60.0,39,1,1,15,4,3
37.0,202662.0,6.0,0,4,4,0.0,0.0,40.0,39,1,1,11,4,9
56.0,35723.0,4.0,2,0,4,0.0,0.0,50.0,39,0,1,5,5,3
23.0,55465.0,10.0,4,1,4,0.0,0.0,40.0,39,1,1,15,0,3
30.0,149531.0,9.0,2,0,4,0.0,0.0,50.0,39,1,1,12,3,3
36.0,88967.0,7.0,4,4,0,0.0,0.0,65.0,39,1,1,2,4,14
51.0,313146.0,9.0,2,0,4,0.0,0.0,40.0,39,1,1,12,4,2
21.0,95997.0,10.0,4,3,4,0.0,0.0,60.0,39,1,1,15,2,5
36.0,34180.0,9.0,4,1,4,0.0,0.0,70.0,39,0,1,12,6,5
50.0,171338.0,10.0,2,0,4,99999.0,0.0,50.0,39,0,1,15,4,4
24.0,216129.0,13.0,4,1,4,0.0,0.0,50.0,39,1,1,9,3,12
38.0,72338.0,9.0,2,0,1,0.0,0.0,54.0,39,0,1,12,2,11
25.0,136226.0,9.0,4,1,4,0.0,0.0,40.0,39,1,1,12,3,12
32.0,398988.0,13.0,4,1,4,0.0,0.0,40.0,39,1,1,9,3,5
